variable,category,pcs_mean,pcs_95_ci,mcs_mean,mcs_95_ci,pcs_p_value,mcs_p_value
Gender,Male,43.2,42.2-44.2,48.3,47.6-49.0,0.032,0.091
Gender,Female,40.9,38.9-42.9,47.0,45.5-48.5,,
agegroup3,38 to 69 years,43.9,42.3-45.5,47.2,46.0-48.4,0.002,0.118
agegroup3,70 to 79 years,43.2,41.9-44.5,48.7,47.8-49.5,,
agegroup3,80 years above,39.6,37.7-41.4,47.7,46.2-49.2,,
ms2g,married,43.5,42.5-44.5,48.3,47.6-49.0,0.002,0.100
ms2g,unmarried,40.3,38.4-42.2,47.0,45.6-48.5,,
RA06ur,Urban Area,42.5,41.4-43.6,48.3,47.5-49.0,0.534,0.119
RA06ur,Rural Australia,43.1,41.5-44.8,47.1,45.8-48.4,,
Stateno,SA practice,42.5,41.3-43.7,48.2,47.4-49.0,0.627,0.435
Stateno,QLD practice,42.9,41.6-44.2,47.7,46.7-48.7,,
educatn4g,post grad/bachelor,44.0,41.3-46.6,48.6,46.6-50.6,0.297,0.085
educatn4g,advdipl/dipl/certif/trade,43.1,41.6-44.6,48.7,47.7-49.8,,
educatn4g,seniorsec/secondary,42.5,41.1-43.9,47.5,46.5-48.5,,
educatn4g,no schooling/primary,40.5,37.9-43.2,46.2,44.1-48.3,,
workst3g,employed,47.6,45.6-49.6,47.8,46.3-49.4,0.000,0.094
workst3g,retired,44.0,42.3-45.7,49.3,48.1-50.4,,
workst3g,pensioner,41.0,39.8-42.1,47.5,46.7-48.4,,
econ3g,very high to higher,45.2,43.1-47.2,49.0,47.5-50.4,0.000,0.066
econ3g,the same,43.1,42.0-44.2,48.1,47.3-48.9,,
econ3g,lower to very low,39.3,37.2-41.4,46.6,45.0-48.2,,
irsd_quint,highest,44.2,42.5-45.9,47.8,46.5-49.0,0.207,0.308
irsd_quint,high,42.7,41.2-44.3,48.4,47.3-49.5,,
irsd_quint,middle,42.3,39.8-44.7,48.9,47.5-50.4,,
irsd_quint,low,41.6,40.0-43.3,47.2,45.9-48.5,,
ischprocedure,no,40.8,39.1-42.4,47.4,46.2-48.6,0.008,0.285
ischprocedure,yes,43.4,42.4-44.4,48.2,47.4-48.9,,
yearsIHD3g,0-5 years,43.0,41.6-44.4,48.1,47.0-49.1,0.806,0.974
yearsIHD3g,6-10 years,42.9,41.1-44.6,47.9,46.7-49.1,,
yearsIHD3g,>10 years,42.3,40.8-43.9,47.9,46.8-49.0,,
CVDcomorb3g,none,44.3,43.3-45.4,47.6,46.8-48.4,0.000,0.357
CVDcomorb3g,just 1,41.3,39.5-43.1,48.7,47.4-50.0,,
CVDcomorb3g,2 or more,37.8,35.3-40.3,48.2,46.4-50.0,,
CVDriskf3g,0-1 risk factors,44.3,42.5-46.1,47.7,46.3-49.1,0.069,0.271
CVDriskf3g,2 risk factors,42.9,41.5-44.3,48.6,47.6-49.7,,
CVDriskf3g,3 or more,41.6,40.1-43.1,47.5,46.5-48.5,,
